ARTIST,RATING,YEAR,LOCATION,FESTIVAL_SET
Arcade Fire,10,2018,Las Vegas,1
Justice,10,2018,Las Vegas,1
Florence and The Machine,10,2018,Las Vegas,1
Odesza,10,2018,Indio,1
Bon Iver,10,2017,Indio,1
LA Philharmonic + Sigur Ros,10,2017,LA,0
Sigur Ros,10,2014,Malmo,0
Arcade Fire,10,2014,Indio,1
Escort,9,2018,San Francisco,0
Phoenix,9,2018,Berkeley,0
Jamie XX,9,2018,Golden Gate Park,1
Beyonce,10,2018,Indio,1
Soulwax,9,2018,Indio,1
The XX,9,2017,Las Vegas,1
Justice,9,2017,Indio,1
Sigur Ros,9,2017,LA,0
The XX,9,2017,London,0
Porter Robinson and Madeon,9,2017,London,0
Garden City Movement,9,2018,Tel Aviv,0
ACDC,9,2015,Indio,1
Porter Robinson,9,2015,Las Vegas,1
Alt-J,9,2015,Barcelona,1
Arcade Fire,9,2014,LA,0
Phoenix,9,2013,Indio,1
Chvrches,9,2013,Copenhagen,0
Red Hot Chili Peppers,9,2006,Oakland,0
Jungle,8,2018,Las Vegas,1
Sylvan Esso,8,2018,Las Vegas,1
Lake Street Dive,8,2018,San Francisco,0
Elohim,8,2018,Golden Gate Park,1
Tash Sultana,8,2018,Golden Gate Park,1
David Byrne,8,2018,Indio,1
Eminem,8,2018,Indio,1
Tank and the Bangas,8,2018,Indio,1
The Blaze,8,2018,Indio,1
Jungle,8,2018,San Francisco,0
Chance The Rapper,8,2017,Las Vegas,1
Goldroom,8,2017,Las Vegas,1
Mura Masa,8,2017,Las Vegas,1
ZHU,8,2017,Las Vegas,1
Goldroom,8,2017,San Francisco,1
Phoenix,8,2017,Mountain View,1
Hans Zimmer,8,2017,Indio,1
Moderat,8,2017,Indio,1
The XX,8,2017,Indio,1
BORNS,8,2016,Indio,1
Chvrches,8,2016,Indio,1
Gallant,8,2016,Indio,1
Matt & Kim,8,2016,Indio,1
The Lumineers,8,2016,Las Vegas,1
Flume,8,2016,Las Vegas,1
Griz ,8,2016,San Francisco,1
James Vincent McMorrow,8,2016,London,0
Mura Masa,8,2016,San Francisco,0
Alt-J,8,2015,Indio,1
Jamie XX,8,2015,Indio,1
ODESZA,8,2015,Indio,1
Porter Robinson,8,2015,Indio,1
Yelle,8,2015,Indio,1
Sylvan Esso,8,2015,Indio,1
ODESZA,8,2015,Indio,1
Imagine Dragons,8,2015,LA,0
Ben Howard,8,2015,Berkeley ,0
Imagine Dragons,8,2015,Las Vegas,1
Elton John,8,2015,San Francisco,1
Garden City Movement,8,2015,Barcelona,1
Jungle,8,2015,Barcelona,1
Matt and Kim,8,2015,LA,0
Daughter,8,2014,Indio,1
Chromeo,8,2014,Indio,1
Flume,8,2014,Indio,1
Phantogram,8,2014,Monterey,1
Major Lazer,8,2013,Indio,1
The XX,8,2013,Indio,1
Yeasayer,8,2013,Indio,1
The Floor is Made of Lava,8,2013,Copenhagen,0
Taylor Swift,8,2012,Claremont,0
Elton John,8,2010,Ontario,0
First Aid Kit,7,2018,Las Vegas,1
Cut Copy,7,2018,Berkeley,0
Rainbow Kitten Surprise\,7,2018,Golden Gate Park,1
LP,7,2018,Golden Gate Park,1
Chvrches,7,2018,Golden Gate Park,1
Bon Iver,7,2018,Golden Gate Park,1
Bleachers,7,2018,Indio,1
Lola Marsh,7,2018,Tel Aviv,0
The Paz Band,7,2017,Tel Aviv,0
The Revivalists (Acoustic),7,2017,Las Vegas,1
Lorde,7,2017,Las Vegas,1
Treehouse Dubstep,7,2017,Las Vegas,1
Sofi Tukker (Tukker DJ set),7,2017,Las Vegas,1
Tycho,7,2017,Las Vegas,1
Pretty Lights,7,2017,Las Vegas,1
Tokimonsta,7,2017,Las Vegas,0
San Fermin,7,2017,San Francisco,1
Franz Ferdinand,7,2017,Mountain View,1
Ezra Furman,7,2017,Indio,1
FKJ,7,2017,Indio,1
GoldLink,7,2017,Indio,1
Jack Garratt,7,2017,Indio,1
Oh Wonder,7,2017,Indio,1
Phantogram,7,2017,Indio,1
Sam Gellaitry,7,2017,Indio,1
Sigur Ros,7,2017,Oakland,0
LA Philharmonic,7,2017,LA,0
Despacio,7,2016,Indio,1
Goldroom,7,2016,Indio,1
LCD soundsystem,7,2016,Indio,1
Lido,7,2016,Indio,1
Lord Huron,7,2016,Indio,1
Major Lazer,7,2016,Indio,1
Rufus du sol ,7,2016,Indio,1
Spacewench,7,2016,Las Vegas,1
Big Grams,7,2016,San Francisco,1
Rufus Du Sol,7,2016,San Francisco,1
Yellow Claw,7,2015,Indio,1
St. Lucia,7,2015,Indio,1
Jamie XX,7,2015,Indio,1
Klingande,7,2015,Las Vegas,1
Major Lazer,7,2015,Las Vegas,1
Jauz,7,2015,Las Vegas,1
Walk the Moon,7,2015,Las Vegas,1
Madeon,7,2015,Las Vegas,1
Chvrches,7,2015,Oakland,1
Death Cab for Cutie,7,2015,Oakland,1
X Ambassadors,7,2015,Oakland,1
Porter Robinson,7,2015,San Francisco,1
James Bay,7,2015,San Francisco,1
Sam Smith,7,2015,San Francisco,1
ACollective,7,2015,Barcelona,1
Chet faker,7,2015,Barcelona,1
Sylvan Esso,7,2015,Barcelona,1
Chvrches,7,2014,Indio,1
Krewella,7,2014,Indio,1
St Lucia,7,2014,Indio,1
The Naked and Famous,7,2014,Monterey,1
Future Islands,7,2014,Monterey,1
Tokyo Police Club,7,2014,Monterey,1
Macklemore,7,2014,San Francisco,1
Watsky,7,2014,San Francisco,1
The Kooks,7,2014,San Francisco,1
Yeah Yeah Yeahs,7,2013,Indio,1
Passion Pit,7,2013,Indio,1
Purity Ring,7,2013,Indio,1
Red Hot Chili Peppers,7,2013,Indio,1
The Postal Service,7,2013,Indio,1
Vampire weekend,7,2013,Indio,1
Scavenger Hunt,7,2013,LA,0
Ms MR,7,2013,Copenhagen,0
The Fratellis,7,2016,London,0
St . Lucia,7,2015,LA,0
Anderson Paak,7,2016,London,0
Poolside,6,2018,Las Vegas,1
St. Vincent,6,2018,Las Vegas,1
Superorganism,6,2018,Las Vegas,1
Sofi Tukker,6,2018,Las Vegas,1
Sir Sly,6,2018,Berkeley,0
Carly Rae Jepsen,6,2018,Golden Gate Park,1
Alt-j,6,2018,Indio,1
Nile Rogers and CHIC,6,2018,Indio,1
Sudan Archives,6,2018,Indio,1
Petit Biscuit,6,2018,Indio,1
Elohim,6,2018,Indio,1
St. Vincent,6,2018,Indio,1
Nessi Gomes,6,2018,Israel,0
RAC (DJ Set),6,2017,Las Vegas,1
Two Door Cinema Club,6,2017,Las Vegas,1
Milky Chance,6,2017,Las Vegas,1
Alt-J,6,2017,San Francisco,1
RAC,6,2017,San Francisco,1
SOHN,6,2017,San Francisco,1
RAC,6,2017,San Francisco,1
Joseph,6,2017,San Francisco,1
James Vincent McMorrow,6,2017,San Francisco,1
Young the Giant,6,2017,San Francisco,1
Lorde,6,2017,San Francisco,1
Andre McMahon in the Wilderness,6,2017,Mountain View,1
Joseph,6,2017,Indio,1
Nao,6,2017,Indio,1
Porter & Madeon,6,2017,Indio,1
Two Door Cinema Club,6,2017,Indio,1
Tycho,6,2017,Indio,1
Of Monsters and Men,6,2017,Indio,1
Flume,6,2017,Indio,1
Lapsley,6,2017,Indio,1
Jimmy Eat World,6,2012,Las Vegas,1
Keys N Krates,6,2012,Las Vegas,1
Leon Bridges,6,2012,Las Vegas,1
Oh Wonder,6,2012,Las Vegas,1
The Wombats,6,2012,San Francisco,1
Oh Wonder,6,2012,San Francisco,1
The War on Drugs,6,2012,Indio,1
Andre McMahon in the Wilderness,6,2012,Indio,1
Phox,6,2012,Indio,1
Metric,6,2012,Las Vegas,1
Bastille,6,2012,Oakland,1
Halsey,6,2012,Oakland,1
George Ezra,6,2012,San Francisco,1
Mumford and Sons,6,2012,San Francisco,1
Benjamin Booker,6,2012,San Francisco,1
Mac Demarco,6,2012,Barcelona,1
Bastille,6,2012,Indio,1
Ellie Goulding,6,2012,Indio,1
STRFKR,6,2012,Indio,1
The National,6,2012,Monterey,1
Blind Pilot,6,2012,Monterey,1
Beck,6,2012,Monterey,1
Flume,6,2012,San Francisco,1
Lykke Li,6,2012,San Francisco,1
Haim,6,2012,San Francisco,1
Tycho,6,2012,San Francisco,1
Earth Wind & Fire,6,2012,Claremont,0
Of Monsters and Men,6,2012,Indio,1
Japandroids,6,2012,Indio,1
Lumineers,6,2012,Indio,1
Chvrches,6,2012,LA,0
Jack Johnson ,6,2012,Berkeley ,0
Daughter,6,2012,Berkeley ,0
Tom Misch,5,2018,Oakland,0
Chvrches,5,2018,Las Vegas,1
Two Feet,5,2018,Las Vegas,1
Odesza,5,2018,Golden Gate Park,1
Rezz,5,2018,Indio,1
Jacob Banks,5,2017,Las Vegas,1
Future Islands,5,2017,San Francisco,1
Cold War Kids,5,2017,Mountain View,1
Big Gigantic,5,2017,Indio,1
Glass Animals,5,2017,Indio,1
The Head and the Heart,5,2017,Indio,1
What So 0t,5,2017,Indio,1
Calvin Harris,5,2017,Indio,1
Halsey,5,2017,Indio,1
Snails,5,2017,Indio,1
The 1975,5,2017,Indio,1
Mr. Carmack,5,2017,Las Vegas,1
Halsey,5,2017,San Francisco,1
MO,5,2017,Indio,1
Tycho,5,2017,Indio,1
Coasts,5,2011,Indio,1
Alessia Cara,5,2011,Las Vegas,1
Halsey,5,2011,Las Vegas,1
Run the Jewels,5,2011,Las Vegas,1
Silversun Pickups,5,2011,Oakland,1
First Aid Kit,5,2011,San Francisco,1
Broods,5,2011,San Francisco,1
RL Grime,5,2011,San Francisco,1
Belle and Sebastian,5,2011,Barcelona,1
Run the Jewels,5,2011,Barcelona,1
The Strokes,5,2011,Barcelona,1
Haim,5,2011,Indio,1
The Head and the Heart,5,2011,Indio,1
MGMT,5,2011,Indio,1
Empire of the Sun,5,2011,Indio,1
Grouplove,5,2011,Indio,1
The 1975,5,2011,Indio,1
Mr Little Jeans,5,2011,Monterey,1
Atmosphere,5,2011,San Francisco,1
The Chainsmokers,5,2011,Claremont,0
Jessie Ware,5,2011,Indio,1
Van Halen,5,2011,MOuntain View,
Tycho,5,2011,London,0
Foster The People,4,2018,Las Vegas,1
Brasstracks,4,2018,Las Vegas,1
Olivia O'Brien,4,2018,Golden Gate Park,1
Slow Magic,4,2018,Indio,1
Blink-182,4,2017,Las Vegas,1
Classixx,4,2017,Las Vegas,1
Local Natives,4,2017,Las Vegas,1
The Japanese House,4,2017,San Francisco,1
Above and Beyond,4,2017,San Francisco,1
Milky Chance,4,2017,Mountain View,1
Honne,4,2017,Indio,1
RL Grime,4,2014,Indio,1
James Bay,4,2014,Indio,1
Ellie Goulding,4,2014,Indio,1
Louis the child,4,2014,Indio,1
Mr Carmack,4,2014,Indio,1
ZHU,4,2014,Indio,1
Gryffin,4,2014,Las Vegas,1
ZHU,4,2014,Las Vegas,1
Jauz,4,2014,San Francisco,1
Chance The Rapper,4,2014,San Francisco,1
George Ezra,4,2014,Indio,1
Alabama Shakes,4,2014,Indio,1
Kaskade,4,2014,Indio,1
Madeon,4,2014,Indio,1
Milky chance,4,2014,Indio,1
Ryn Weaver,4,2014,Indio,1
The weeknd,4,2014,Indio,1
What So 0t,4,2014,Indio,1
Lindsey Stirling,4,2014,Las Vegas,1
Glass Animals,4,2014,Las Vegas,1
Odesza,4,2014,San Francisco,1
Black keys,4,2014,Barcelona,1
Lorde,4,2014,Indio,1
Adrian Lux,4,2014,Indio,1
Outkast,4,2014,Indio,1
Alesso,4,2014,Indio,1
Beach House,4,2014,Monterey,1
Kanye West,4,2014,San Francisco,1
Disclosure,4,2014,San Francisco,1
Chromeo,4,2014,San Francisco,1
RAC,4,2014,LA,0
Passion Pit,4,2014,San Francisco,0
Banners,4,2014,San Francisco,0
98 Degrees,4,2014,LA,1
Broken Social Scene,3,2018,Golden Gate Park,1
Portugal the Man,3,2018,Indio,1
Thundercat,3,2017,San Francisco,1
Arkells,3,2017,Indio,1
Jack U,3,2017,Indio,1
Third Eye Blind,3,2017,Las Vegas,1
Years and Years,3,2017,San Francisco,1
Zedd,3,2017,San Francisco,1
Angus and Julia Stone,3,2017,Indio,1
Clean Bandit,3,2017,Indio,1
Ratatat,3,2017,Indio,1
Kaskade,3,2017,Indio,1
Peking Duk,3,2017,Las Vegas,1
Foals ,3,2017,Oakland,1
The Neighborhood,3,2017,Indio,1
Tyler the Creator / Earl Sweatshirt,3,2017,Indio,1
Childish Gambi0,3,2017,Claremont,0
Two Friends,3,2017,San Francisco,0
Digitalism,3,2017,Copenhagen,0
Deorro,2,2017,Las Vegas,1
Bearson,2,2017,Las Vegas,1
Whethan,2,2017,Mountain View,1
Kungs,2,2017,Indio,1
Thomas Jack,2,2017,Indio,1
Vanic,2,2017,Indio,1
Drake,2,2017,Indio,1
Kygo,2,2017,Indio,1
Health,2,2017,Barcelona,1
Muse,2,2017,Indio,1
Modest Mouse,2,2017,Indio,1
The K0cks,2,2017,LA,0
The Chainsmokers,2,2017,London,0
Avicii,2,2017,Vegas,0
2 Chainz,1,2017,Las Vegas,1
Nick cave and the bad seeds,1,2017,Indio,1
,,,,
,,,,
,,,,
,,,,
,,,", ",
